page_name,page_path,document,doc_type,format,page_number,doc_page_count,contains_passport,is_edge_case,distortion,source_image
passport_edge_00007_p03.jpg,data\pages\passport_edge\passport_edge_00007_p03.jpg,passport_edge_00007.pdf,passport_edge,pdf,3,4,1,1,pixelated,aslessor_passport_0003.jpg
passport_normal_00008_p01.jpg,data\pages\passport_normal\passport_normal_00008_p01.jpg,passport_normal_00008.docx,passport_normal,docx,1,2,1,0,gentle,aslessor_passport_0004.jpg
passport_normal_00008_p02.jpg,data\pages\filler_text\passport_normal_00008_p02.jpg,passport_normal_00008.docx,filler_text,docx,2,2,0,0,,
passport_edge_00009_p01.jpg,data\pages\passport_edge\passport_edge_00009_p01.jpg,passport_edge_00009.docx,passport_edge,docx,1,2,1,1,shadow,aslessor_passport_0004.jpg
passport_edge_00009_p02.jpg,data\pages\filler_text\passport_edge_00009_p02.jpg,passport_edge_00009.docx,filler_text,docx,2,2,0,0,,
passport_normal_00010_p01.jpg,data\pages\passport_normal\passport_normal_00010_p01.jpg,passport_normal_00010.pdf,passport_normal,pdf,1,3,1,0,gentle,aslessor_passport_0005.jpg
passport_normal_00010_p02.jpg,data\pages\filler_text\passport_normal_00010_p02.jpg,passport_normal_00010.pdf,filler_text,pdf,2,3,0,0,,
passport_normal_00010_p03.jpg,data\pages\filler_text\passport_normal_00010_p03.jpg,passport_normal_00010.pdf,filler_text,pdf,3,3,0,0,,
passport_edge_00011_p01.jpg,data\pages\passport_edge\passport_edge_00011_p01.jpg,passport_edge_00011.pdf,passport_edge,pdf,1,4,1,1,rotated,aslessor_passport_0005.jpg
passport_edge_00011_p02.jpg,data\pages\filler_text\passport_edge_00011_p02.jpg,passport_edge_00011.pdf,filler_text,pdf,2,4,0,0,,
passport_edge_00011_p03.jpg,data\pages\filler_text\passport_edge_00011_p03.jpg,passport_edge_00011.pdf,filler_text,pdf,3,4,0,0,,
passport_normal_00012_p01.jpg,data\pages\passport_normal\passport_normal_00012_p01.jpg,passport_normal_00012.pdf,passport_normal,pdf,1,3,1,0,gentle,aslessor_passport_0006.jpg
passport_normal_00012_p02.jpg,data\pages\filler_text\passport_normal_00012_p02.jpg,passport_normal_00012.pdf,filler_text,pdf,2,3,0,0,,
passport_normal_00012_p03.jpg,data\pages\filler_text\passport_normal_00012_p03.jpg,passport_normal_00012.pdf,filler_text,pdf,3,3,0,0,,
passport_edge_00013_p01.jpg,data\pages\filler_text\passport_edge_00013_p01.jpg,passport_edge_00013.docx,filler_text,docx,1,3,0,0,,
passport_edge_00013_p02.jpg,data\pages\passport_edge\passport_edge_00013_p02.jpg,passport_edge_00013.docx,passport_edge,docx,2,3,1,1,rotated,aslessor_passport_0006.jpg
passport_edge_00013_p03.jpg,data\pages\filler_text\passport_edge_00013_p03.jpg,passport_edge_00013.docx,filler_text,docx,3,3,0,0,,
passport_normal_00014_p01.jpg,data\pages\passport_normal\passport_normal_00014_p01.jpg,passport_normal_00014.pdf,passport_normal,pdf,1,3,1,0,gentle,aslessor_passport_0007.jpg
passport_normal_00014_p02.jpg,data\pages\filler_text\passport_normal_00014_p02.jpg,passport_normal_00014.pdf,filler_text,pdf,2,3,0,0,,
passport_normal_00014_p03.jpg,data\pages\filler_text\passport_normal_00014_p03.jpg,passport_normal_00014.pdf,filler_text,pdf,3,3,0,0,,
passport_edge_00015_p01.jpg,data\pages\filler_text\passport_edge_00015_p01.jpg,passport_edge_00015.pdf,filler_text,pdf,1,3,0,0,,
passport_edge_00015_p02.jpg,data\pages\filler_text\passport_edge_00015_p02.jpg,passport_edge_00015.pdf,filler_text,pdf,2,3,0,0,,
passport_edge_00015_p03.jpg,data\pages\passport_edge\passport_edge_00015_p03.jpg,passport_edge_00015.pdf,passport_edge,pdf,3,3,1,1,shadow,aslessor_passport_0007.jpg
passport_normal_00016_p01.jpg,data\pages\passport_normal\passport_normal_00016_p01.jpg,passport_normal_00016.docx,passport_normal,docx,1,2,1,0,gentle,aslessor_passport_0008.jpg
passport_normal_00016_p02.jpg,data\pages\filler_text\passport_normal_00016_p02.jpg,passport_normal_00016.docx,filler_text,docx,2,2,0,0,,
passport_edge_00017_p01.jpg,data\pages\filler_text\passport_edge_00017_p01.jpg,passport_edge_00017.pdf,filler_text,pdf,1,3,0,0,,
passport_edge_00017_p02.jpg,data\pages\passport_edge\passport_edge_00017_p02.jpg,passport_edge_00017.pdf,passport_edge,pdf,2,3,1,1,pixelated,aslessor_passport_0008.jpg
passport_edge_00017_p03.jpg,data\pages\filler_text\passport_edge_00017_p03.jpg,passport_edge_00017.pdf,filler_text,pdf,3,3,0,0,,
passport_normal_00018_p01.jpg,data\pages\filler_text\passport_normal_00018_p01.jpg,passport_normal_00018.docx,filler_text,docx,1,2,0,0,,
passport_normal_00018_p02.jpg,data\pages\passport_normal\passport_normal_00018_p02.jpg,passport_normal_00018.docx,passport_normal,docx,2,2,1,0,gentle,aslessor_passport_0009.jpg
passport_edge_00019_p01.jpg,data\pages\passport_edge\passport_edge_00019_p01.jpg,passport_edge_00019.docx,passport_edge,docx,1,3,1,1,rotated,aslessor_passport_0009.jpg
passport_edge_00019_p02.jpg,data\pages\filler_text\passport_edge_00019_p02.jpg,passport_edge_00019.docx,filler_text,docx,2,3,0,0,,
passport_edge_00019_p03.jpg,data\pages\filler_text\passport_edge_00019_p03.jpg,passport_edge_00019.docx,filler_text,docx,3,3,0,0,,
passport_normal_00020_p01.jpg,data\pages\filler_text\passport_normal_00020_p01.jpg,passport_normal_00020.pdf,filler_text,pdf,1,2,0,0,,
passport_normal_00020_p02.jpg,data\pages\passport_normal\passport_normal_00020_p02.jpg,passport_normal_00020.pdf,passport_normal,pdf,2,2,1,0,gentle,aslessor_passport_0010.jpg
passport_edge_00021_p01.jpg,data\pages\passport_edge\passport_edge_00021_p01.jpg,passport_edge_00021.pdf,passport_edge,pdf,1,2,1,1,blur,aslessor_passport_0010.jpg
passport_edge_00021_p02.jpg,data\pages\filler_text\passport_edge_00021_p02.jpg,passport_edge_00021.pdf,filler_text,pdf,2,2,0,0,,
passport_normal_00022_p01.jpg,data\pages\passport_normal\passport_normal_00022_p01.jpg,passport_normal_00022.pdf,passport_normal,pdf,1,4,1,0,gentle,aslessor_passport_0011.jpg
passport_normal_00022_p02.jpg,data\pages\filler_text\passport_normal_00022_p02.jpg,passport_normal_00022.pdf,filler_text,pdf,2,4,0,0,,
passport_normal_00022_p03.jpg,data\pages\filler_text\passport_normal_00022_p03.jpg,passport_normal_00022.pdf,filler_text,pdf,3,4,0,0,,
passport_edge_00023_p01.jpg,data\pages\passport_edge\passport_edge_00023_p01.jpg,passport_edge_00023.pdf,passport_edge,pdf,1,2,1,1,blur,aslessor_passport_0011.jpg
passport_edge_00023_p02.jpg,data\pages\filler_text\passport_edge_00023_p02.jpg,passport_edge_00023.pdf,filler_text,pdf,2,2,0,0,,
passport_normal_00024_p01.jpg,data\pages\filler_text\passport_normal_00024_p01.jpg,passport_normal_00024.pdf,filler_text,pdf,1,4,0,0,,
passport_normal_00024_p02.jpg,data\pages\filler_text\passport_normal_00024_p02.jpg,passport_normal_00024.pdf,filler_text,pdf,2,4,0,0,,
passport_normal_00024_p03.jpg,data\pages\passport_normal\passport_normal_00024_p03.jpg,passport_normal_00024.pdf,passport_normal,pdf,3,4,1,0,gentle,aslessor_passport_0012.jpg
passport_edge_00025_p01.jpg,data\pages\filler_text\passport_edge_00025_p01.jpg,passport_edge_00025.pdf,filler_text,pdf,1,2,0,0,,
passport_edge_00025_p02.jpg,data\pages\passport_edge\passport_edge_00025_p02.jpg,passport_edge_00025.pdf,passport_edge,pdf,2,2,1,1,shadow,aslessor_passport_0012.jpg
passport_normal_00026_p01.jpg,data\pages\passport_normal\passport_normal_00026_p01.jpg,passport_normal_00026.pdf,passport_normal,pdf,1,2,1,0,gentle,aslessor_passport_0013.jpg
passport_normal_00026_p02.jpg,data\pages\filler_text\passport_normal_00026_p02.jpg,passport_normal_00026.pdf,filler_text,pdf,2,2,0,0,,
passport_edge_00027_p01.jpg,data\pages\filler_text\passport_edge_00027_p01.jpg,passport_edge_00027.pdf,filler_text,pdf,1,2,0,0,,
passport_edge_00027_p02.jpg,data\pages\passport_edge\passport_edge_00027_p02.jpg,passport_edge_00027.pdf,passport_edge,pdf,2,2,1,1,rotated,aslessor_passport_0013.jpg
passport_normal_00028_p01.jpg,data\pages\filler_text\passport_normal_00028_p01.jpg,passport_normal_00028.docx,filler_text,docx,1,3,0,0,,
passport_normal_00028_p02.jpg,data\pages\passport_normal\passport_normal_00028_p02.jpg,passport_normal_00028.docx,passport_normal,docx,2,3,1,0,gentle,aslessor_passport_0014.jpg
passport_normal_00028_p03.jpg,data\pages\filler_text\passport_normal_00028_p03.jpg,passport_normal_00028.docx,filler_text,docx,3,3,0,0,,
passport_edge_00029_p01.jpg,data\pages\filler_text\passport_edge_00029_p01.jpg,passport_edge_00029.pdf,filler_text,pdf,1,4,0,0,,
passport_edge_00029_p02.jpg,data\pages\filler_text\passport_edge_00029_p02.jpg,passport_edge_00029.pdf,filler_text,pdf,2,4,0,0,,
passport_edge_00029_p04.jpg,data\pages\passport_edge\passport_edge_00029_p04.jpg,passport_edge_00029.pdf,passport_edge,pdf,4,4,1,1,shadow,aslessor_passport_0014.jpg
passport_normal_00030_p01.jpg,data\pages\passport_normal\passport_normal_00030_p01.jpg,passport_normal_00030.pdf,passport_normal,pdf,1,2,1,0,gentle,aslessor_passport_0015.jpg
passport_normal_00030_p02.jpg,data\pages\filler_text\passport_normal_00030_p02.jpg,passport_normal_00030.pdf,filler_text,pdf,2,2,0,0,,
passport_edge_00031_p01.jpg,data\pages\filler_text\passport_edge_00031_p01.jpg,passport_edge_00031.pdf,filler_text,pdf,1,4,0,0,,
passport_edge_00031_p02.jpg,data\pages\filler_text\passport_edge_00031_p02.jpg,passport_edge_00031.pdf,filler_text,pdf,2,4,0,0,,
passport_edge_00031_p03.jpg,data\pages\passport_edge\passport_edge_00031_p03.jpg,passport_edge_00031.pdf,passport_edge,pdf,3,4,1,1,shadow,aslessor_passport_0015.jpg
passport_normal_00032_p01.jpg,data\pages\filler_text\passport_normal_00032_p01.jpg,passport_normal_00032.docx,filler_text,docx,1,3,0,0,,
passport_normal_00032_p02.jpg,data\pages\passport_normal\passport_normal_00032_p02.jpg,passport_normal_00032.docx,passport_normal,docx,2,3,1,0,none,aslessor_passport_0016.jpg
passport_normal_00032_p03.jpg,data\pages\filler_text\passport_normal_00032_p03.jpg,passport_normal_00032.docx,filler_text,docx,3,3,0,0,,
passport_edge_00033_p01.jpg,data\pages\filler_text\passport_edge_00033_p01.jpg,passport_edge_00033.pdf,filler_text,pdf,1,4,0,0,,
passport_edge_00033_p02.jpg,data\pages\passport_edge\passport_edge_00033_p02.jpg,passport_edge_00033.pdf,passport_edge,pdf,2,4,1,1,noise,aslessor_passport_0016.jpg
passport_edge_00033_p03.jpg,data\pages\filler_text\passport_edge_00033_p03.jpg,passport_edge_00033.pdf,filler_text,pdf,3,4,0,0,,
passport_normal_00034_p01.jpg,data\pages\filler_text\passport_normal_00034_p01.jpg,passport_normal_00034.docx,filler_text,docx,1,2,0,0,,
passport_normal_00034_p02.jpg,data\pages\passport_normal\passport_normal_00034_p02.jpg,passport_normal_00034.docx,passport_normal,docx,2,2,1,0,gentle,aslessor_passport_0017.jpg
passport_edge_00035_p01.jpg,data\pages\filler_text\passport_edge_00035_p01.jpg,passport_edge_00035.pdf,filler_text,pdf,1,2,0,0,,
passport_edge_00035_p02.jpg,data\pages\passport_edge\passport_edge_00035_p02.jpg,passport_edge_00035.pdf,passport_edge,pdf,2,2,1,1,noise,aslessor_passport_0017.jpg
passport_normal_00036_p01.jpg,data\pages\filler_text\passport_normal_00036_p01.jpg,passport_normal_00036.pdf,filler_text,pdf,1,3,0,0,,
passport_normal_00036_p02.jpg,data\pages\passport_normal\passport_normal_00036_p02.jpg,passport_normal_00036.pdf,passport_normal,pdf,2,3,1,0,gentle,aslessor_passport_0018.jpg
passport_normal_00036_p03.jpg,data\pages\filler_text\passport_normal_00036_p03.jpg,passport_normal_00036.pdf,filler_text,pdf,3,3,0,0,,
passport_edge_00037_p01.jpg,data\pages\passport_edge\passport_edge_00037_p01.jpg,passport_edge_00037.docx,passport_edge,docx,1,2,1,1,photocopy,aslessor_passport_0018.jpg
passport_edge_00037_p02.jpg,data\pages\filler_text\passport_edge_00037_p02.jpg,passport_edge_00037.docx,filler_text,docx,2,2,0,0,,
passport_normal_00038_p01.jpg,data\pages\filler_text\passport_normal_00038_p01.jpg,passport_normal_00038.pdf,filler_text,pdf,1,2,0,0,,
passport_normal_00038_p02.jpg,data\pages\passport_normal\passport_normal_00038_p02.jpg,passport_normal_00038.pdf,passport_normal,pdf,2,2,1,0,none,aslessor_passport_0019.jpg
passport_edge_00039_p01.jpg,data\pages\filler_text\passport_edge_00039_p01.jpg,passport_edge_00039.pdf,filler_text,pdf,1,4,0,0,,
passport_edge_00039_p02.jpg,data\pages\filler_text\passport_edge_00039_p02.jpg,passport_edge_00039.pdf,filler_text,pdf,2,4,0,0,,
passport_edge_00039_p03.jpg,data\pages\passport_edge\passport_edge_00039_p03.jpg,passport_edge_00039.pdf,passport_edge,pdf,3,4,1,1,shadow,aslessor_passport_0019.jpg
passport_normal_00040_p01.jpg,data\pages\filler_text\passport_normal_00040_p01.jpg,passport_normal_00040.pdf,filler_text,pdf,1,2,0,0,,
passport_normal_00040_p02.jpg,data\pages\passport_normal\passport_normal_00040_p02.jpg,passport_normal_00040.pdf,passport_normal,pdf,2,2,1,0,gentle,aslessor_passport_0020.jpg
passport_edge_00041_p01.jpg,data\pages\filler_text\passport_edge_00041_p01.jpg,passport_edge_00041.pdf,filler_text,pdf,1,3,0,0,,
passport_edge_00041_p02.jpg,data\pages\filler_text\passport_edge_00041_p02.jpg,passport_edge_00041.pdf,filler_text,pdf,2,3,0,0,,
passport_edge_00041_p03.jpg,data\pages\passport_edge\passport_edge_00041_p03.jpg,passport_edge_00041.pdf,passport_edge,pdf,3,3,1,1,noise,aslessor_passport_0020.jpg
passport_normal_00042_p01.jpg,data\pages\filler_text\passport_normal_00042_p01.jpg,passport_normal_00042.pdf,filler_text,pdf,1,3,0,0,,
passport_normal_00042_p02.jpg,data\pages\filler_text\passport_normal_00042_p02.jpg,passport_normal_00042.pdf,filler_text,pdf,2,3,0,0,,
passport_normal_00042_p03.jpg,data\pages\passport_normal\passport_normal_00042_p03.jpg,passport_normal_00042.pdf,passport_normal,pdf,3,3,1,0,none,aslessor_passport_0021.jpg
passport_edge_00043_p01.jpg,data\pages\filler_text\passport_edge_00043_p01.jpg,passport_edge_00043.pdf,filler_text,pdf,1,2,0,0,,
passport_edge_00043_p02.jpg,data\pages\passport_edge\passport_edge_00043_p02.jpg,passport_edge_00043.pdf,passport_edge,pdf,2,2,1,1,pixelated,aslessor_passport_0021.jpg
passport_normal_00044_p01.jpg,data\pages\passport_normal\passport_normal_00044_p01.jpg,passport_normal_00044.docx,passport_normal,docx,1,2,1,0,none,aslessor_passport_0022.jpg
passport_normal_00044_p02.jpg,data\pages\filler_text\passport_normal_00044_p02.jpg,passport_normal_00044.docx,filler_text,docx,2,2,0,0,,
passport_edge_00045_p01.jpg,data\pages\filler_text\passport_edge_00045_p01.jpg,passport_edge_00045.pdf,filler_text,pdf,1,3,0,0,,
passport_edge_00045_p02.jpg,data\pages\filler_text\passport_edge_00045_p02.jpg,passport_edge_00045.pdf,filler_text,pdf,2,3,0,0,,
passport_edge_00045_p03.jpg,data\pages\passport_edge\passport_edge_00045_p03.jpg,passport_edge_00045.pdf,passport_edge,pdf,3,3,1,1,blur,aslessor_passport_0022.jpg
passport_normal_00046_p01.jpg,data\pages\passport_normal\passport_normal_00046_p01.jpg,passport_normal_00046.docx,passport_normal,docx,1,2,1,0,gentle,aslessor_passport_0023.jpg
passport_normal_00046_p02.jpg,data\pages\filler_text\passport_normal_00046_p02.jpg,passport_normal_00046.docx,filler_text,docx,2,2,0,0,,
passport_edge_00047_p01.jpg,data\pages\filler_text\passport_edge_00047_p01.jpg,passport_edge_00047.docx,filler_text,docx,1,2,0,0,,
passport_edge_00047_p02.jpg,data\pages\passport_edge\passport_edge_00047_p02.jpg,passport_edge_00047.docx,passport_edge,docx,2,2,1,1,pixelated,aslessor_passport_0023.jpg
passport_normal_00048_p01.jpg,data\pages\passport_normal\passport_normal_00048_p01.jpg,passport_normal_00048.pdf,passport_normal,pdf,1,2,1,0,gentle,aslessor_passport_0024.jpg
passport_normal_00048_p02.jpg,data\pages\filler_text\passport_normal_00048_p02.jpg,passport_normal_00048.pdf,filler_text,pdf,2,2,0,0,,
passport_edge_00049_p01.jpg,data\pages\filler_text\passport_edge_00049_p01.jpg,passport_edge_00049.pdf,filler_text,pdf,1,2,0,0,,
passport_edge_00049_p02.jpg,data\pages\passport_edge\passport_edge_00049_p02.jpg,passport_edge_00049.pdf,passport_edge,pdf,2,2,1,1,pixelated,aslessor_passport_0024.jpg
passport_normal_00050_p01.jpg,data\pages\filler_text\passport_normal_00050_p01.jpg,passport_normal_00050.pdf,filler_text,pdf,1,2,0,0,,
passport_normal_00050_p02.jpg,data\pages\passport_normal\passport_normal_00050_p02.jpg,passport_normal_00050.pdf,passport_normal,pdf,2,2,1,0,gentle,aslessor_passport_0025.jpg
passport_edge_00051_p01.jpg,data\pages\filler_text\passport_edge_00051_p01.jpg,passport_edge_00051.pdf,filler_text,pdf,1,2,0,0,,
passport_edge_00051_p02.jpg,data\pages\passport_edge\passport_edge_00051_p02.jpg,passport_edge_00051.pdf,passport_edge,pdf,2,2,1,1,pixelated,aslessor_passport_0025.jpg
passport_normal_00052_p01.jpg,data\pages\filler_text\passport_normal_00052_p01.jpg,passport_normal_00052.pdf,filler_text,pdf,1,2,0,0,,
passport_normal_00052_p02.jpg,data\pages\passport_normal\passport_normal_00052_p02.jpg,passport_normal_00052.pdf,passport_normal,pdf,2,2,1,0,none,aslessor_passport_0026.jpg
passport_edge_00053_p01.jpg,data\pages\filler_text\passport_edge_00053_p01.jpg,passport_edge_00053.docx,filler_text,docx,1,3,0,0,,
passport_edge_00053_p02.jpg,data\pages\filler_text\passport_edge_00053_p02.jpg,passport_edge_00053.docx,filler_text,docx,2,3,0,0,,
passport_edge_00053_p03.jpg,data\pages\passport_edge\passport_edge_00053_p03.jpg,passport_edge_00053.docx,passport_edge,docx,3,3,1,1,shadow,aslessor_passport_0026.jpg
passport_normal_00054_p01.jpg,data\pages\passport_normal\passport_normal_00054_p01.jpg,passport_normal_00054.pdf,passport_normal,pdf,1,3,1,0,gentle,aslessor_passport_0027.jpg
passport_normal_00054_p02.jpg,data\pages\filler_text\passport_normal_00054_p02.jpg,passport_normal_00054.pdf,filler_text,pdf,2,3,0,0,,
passport_normal_00054_p03.jpg,data\pages\filler_text\passport_normal_00054_p03.jpg,passport_normal_00054.pdf,filler_text,pdf,3,3,0,0,,
passport_edge_00055_p01.jpg,data\pages\filler_text\passport_edge_00055_p01.jpg,passport_edge_00055.pdf,filler_text,pdf,1,3,0,0,,
passport_edge_00055_p02.jpg,data\pages\passport_edge\passport_edge_00055_p02.jpg,passport_edge_00055.pdf,passport_edge,pdf,2,3,1,1,pixelated,aslessor_passport_0027.jpg
passport_edge_00055_p03.jpg,data\pages\filler_text\passport_edge_00055_p03.jpg,passport_edge_00055.pdf,filler_text,pdf,3,3,0,0,,
passport_normal_00056_p01.jpg,data\pages\passport_normal\passport_normal_00056_p01.jpg,passport_normal_00056.docx,passport_normal,docx,1,2,1,0,gentle,aslessor_passport_0028.jpg
passport_normal_00056_p02.jpg,data\pages\filler_text\passport_normal_00056_p02.jpg,passport_normal_00056.docx,filler_text,docx,2,2,0,0,,
passport_edge_00057_p01.jpg,data\pages\passport_edge\passport_edge_00057_p01.jpg,passport_edge_00057.pdf,passport_edge,pdf,1,4,1,1,blur,aslessor_passport_0028.jpg
passport_edge_00057_p02.jpg,data\pages\filler_text\passport_edge_00057_p02.jpg,passport_edge_00057.pdf,filler_text,pdf,2,4,0,0,,
passport_edge_00057_p03.jpg,data\pages\filler_text\passport_edge_00057_p03.jpg,passport_edge_00057.pdf,filler_text,pdf,3,4,0,0,,
passport_normal_00058_p01.jpg,data\pages\filler_text\passport_normal_00058_p01.jpg,passport_normal_00058.docx,filler_text,docx,1,2,0,0,,
passport_normal_00058_p02.jpg,data\pages\passport_normal\passport_normal_00058_p02.jpg,passport_normal_00058.docx,passport_normal,docx,2,2,1,0,gentle,aslessor_passport_0029.jpg
passport_edge_00059_p01.jpg,data\pages\filler_text\passport_edge_00059_p01.jpg,passport_edge_00059.docx,filler_text,docx,1,2,0,0,,
passport_edge_00059_p02.jpg,data\pages\passport_edge\passport_edge_00059_p02.jpg,passport_edge_00059.docx,passport_edge,docx,2,2,1,1,rotated,aslessor_passport_0029.jpg
passport_normal_00060_p01.jpg,data\pages\passport_normal\passport_normal_00060_p01.jpg,passport_normal_00060.pdf,passport_normal,pdf,1,3,1,0,none,aslessor_passport_0030.jpg
passport_normal_00060_p02.jpg,data\pages\filler_text\passport_normal_00060_p02.jpg,passport_normal_00060.pdf,filler_text,pdf,2,3,0,0,,
passport_normal_00060_p03.jpg,data\pages\filler_text\passport_normal_00060_p03.jpg,passport_normal_00060.pdf,filler_text,pdf,3,3,0,0,,
passport_edge_00061_p01.jpg,data\pages\filler_text\passport_edge_00061_p01.jpg,passport_edge_00061.pdf,filler_text,pdf,1,4,0,0,,
passport_edge_00061_p02.jpg,data\pages\filler_text\passport_edge_00061_p02.jpg,passport_edge_00061.pdf,filler_text,pdf,2,4,0,0,,
passport_edge_00061_p04.jpg,data\pages\passport_edge\passport_edge_00061_p04.jpg,passport_edge_00061.pdf,passport_edge,pdf,4,4,1,1,pixelated,aslessor_passport_0030.jpg
passport_normal_00062_p01.jpg,data\pages\filler_text\passport_normal_00062_p01.jpg,passport_normal_00062.pdf,filler_text,pdf,1,3,0,0,,
passport_normal_00062_p02.jpg,data\pages\filler_text\passport_normal_00062_p02.jpg,passport_normal_00062.pdf,filler_text,pdf,2,3,0,0,,
passport_normal_00062_p03.jpg,data\pages\passport_normal\passport_normal_00062_p03.jpg,passport_normal_00062.pdf,passport_normal,pdf,3,3,1,0,none,aslessor_passport_0031.jpg
passport_edge_00063_p01.jpg,data\pages\passport_edge\passport_edge_00063_p01.jpg,passport_edge_00063.pdf,passport_edge,pdf,1,3,1,1,photocopy,aslessor_passport_0031.jpg
passport_edge_00063_p02.jpg,data\pages\filler_text\passport_edge_00063_p02.jpg,passport_edge_00063.pdf,filler_text,pdf,2,3,0,0,,
passport_edge_00063_p03.jpg,data\pages\filler_text\passport_edge_00063_p03.jpg,passport_edge_00063.pdf,filler_text,pdf,3,3,0,0,,
passport_normal_00064_p01.jpg,data\pages\filler_text\passport_normal_00064_p01.jpg,passport_normal_00064.pdf,filler_text,pdf,1,4,0,0,,
passport_normal_00064_p02.jpg,data\pages\filler_text\passport_normal_00064_p02.jpg,passport_normal_00064.pdf,filler_text,pdf,2,4,0,0,,
passport_normal_00064_p03.jpg,data\pages\passport_normal\passport_normal_00064_p03.jpg,passport_normal_00064.pdf,passport_normal,pdf,3,4,1,0,gentle,aslessor_passport_0032.jpg
passport_edge_00065_p01.jpg,data\pages\filler_text\passport_edge_00065_p01.jpg,passport_edge_00065.docx,filler_text,docx,1,3,0,0,,
passport_edge_00065_p02.jpg,data\pages\filler_text\passport_edge_00065_p02.jpg,passport_edge_00065.docx,filler_text,docx,2,3,0,0,,
passport_edge_00065_p03.jpg,data\pages\passport_edge\passport_edge_00065_p03.jpg,passport_edge_00065.docx,passport_edge,docx,3,3,1,1,photocopy,aslessor_passport_0032.jpg
passport_normal_00066_p01.jpg,data\pages\passport_normal\passport_normal_00066_p01.jpg,passport_normal_00066.docx,passport_normal,docx,1,3,1,0,none,aslessor_passport_0033.jpg
passport_normal_00066_p02.jpg,data\pages\filler_text\passport_normal_00066_p02.jpg,passport_normal_00066.docx,filler_text,docx,2,3,0,0,,
passport_normal_00066_p03.jpg,data\pages\filler_text\passport_normal_00066_p03.jpg,passport_normal_00066.docx,filler_text,docx,3,3,0,0,,
passport_edge_00067_p01.jpg,data\pages\passport_edge\passport_edge_00067_p01.jpg,passport_edge_00067.pdf,passport_edge,pdf,1,4,1,1,rotated,aslessor_passport_0033.jpg
passport_edge_00067_p02.jpg,data\pages\filler_text\passport_edge_00067_p02.jpg,passport_edge_00067.pdf,filler_text,pdf,2,4,0,0,,
passport_edge_00067_p03.jpg,data\pages\filler_text\passport_edge_00067_p03.jpg,passport_edge_00067.pdf,filler_text,pdf,3,4,0,0,,
