filename,extension,path,size_bytes,status,page_count,output_images,error
PDF_Edge_Case_11.pdf,.pdf,./data\pdf\edge_cases\PDF_Edge_Case_11.pdf,3765419,success,1,['./dataset_images_tmp\\PDF_Edge_Case_11_page_1.jpg'],
PDF_Edge_Case_12.pdf,.pdf,./data\pdf\edge_cases\PDF_Edge_Case_12.pdf,3773837,success,7,"['./dataset_images_tmp\\PDF_Edge_Case_12_page_1.jpg', './dataset_images_tmp\\PDF_Edge_Case_12_page_2.jpg', './dataset_images_tmp\\PDF_Edge_Case_12_page_3.jpg', './dataset_images_tmp\\PDF_Edge_Case_12_page_4.jpg', './dataset_images_tmp\\PDF_Edge_Case_12_page_5.jpg', './dataset_images_tmp\\PDF_Edge_Case_12_page_6.jpg', './dataset_images_tmp\\PDF_Edge_Case_12_page_7.jpg']",
PDF_Edge_Case_13.pdf,.pdf,./data\pdf\edge_cases\PDF_Edge_Case_13.pdf,5087271,success,1,['./dataset_images_tmp\\PDF_Edge_Case_13_page_1.jpg'],
PDF_Edge_Case_14.pdf,.pdf,./data\pdf\edge_cases\PDF_Edge_Case_14.pdf,4563403,success,8,"['./dataset_images_tmp\\PDF_Edge_Case_14_page_1.jpg', './dataset_images_tmp\\PDF_Edge_Case_14_page_2.jpg', './dataset_images_tmp\\PDF_Edge_Case_14_page_3.jpg', './dataset_images_tmp\\PDF_Edge_Case_14_page_4.jpg', './dataset_images_tmp\\PDF_Edge_Case_14_page_5.jpg', './dataset_images_tmp\\PDF_Edge_Case_14_page_6.jpg', './dataset_images_tmp\\PDF_Edge_Case_14_page_7.jpg', './dataset_images_tmp\\PDF_Edge_Case_14_page_8.jpg']",
PDF_Edge_Case_15.pdf,.pdf,./data\pdf\edge_cases\PDF_Edge_Case_15.pdf,5090116,success,3,"['./dataset_images_tmp\\PDF_Edge_Case_15_page_1.jpg', './dataset_images_tmp\\PDF_Edge_Case_15_page_2.jpg', './dataset_images_tmp\\PDF_Edge_Case_15_page_3.jpg']",
Word_Normal_Doc_1.docx,.docx,./data\word\Word_Normal_Doc_1.docx,723539,success,4,"['./dataset_images_tmp\\Word_Normal_Doc_1_page_1.jpg', './dataset_images_tmp\\Word_Normal_Doc_1_page_2.jpg', './dataset_images_tmp\\Word_Normal_Doc_1_page_3.jpg', './dataset_images_tmp\\Word_Normal_Doc_1_page_4.jpg']",
Word_Normal_Doc_10.docx,.docx,./data\word\Word_Normal_Doc_10.docx,740495,success,5,"['./dataset_images_tmp\\Word_Normal_Doc_10_page_1.jpg', './dataset_images_tmp\\Word_Normal_Doc_10_page_2.jpg', './dataset_images_tmp\\Word_Normal_Doc_10_page_3.jpg', './dataset_images_tmp\\Word_Normal_Doc_10_page_4.jpg', './dataset_images_tmp\\Word_Normal_Doc_10_page_5.jpg']",
Word_Normal_Doc_2.docx,.docx,./data\word\Word_Normal_Doc_2.docx,724988,success,4,"['./dataset_images_tmp\\Word_Normal_Doc_2_page_1.jpg', './dataset_images_tmp\\Word_Normal_Doc_2_page_2.jpg', './dataset_images_tmp\\Word_Normal_Doc_2_page_3.jpg', './dataset_images_tmp\\Word_Normal_Doc_2_page_4.jpg']",
Word_Normal_Doc_3.docx,.docx,./data\word\Word_Normal_Doc_3.docx,738976,success,5,"['./dataset_images_tmp\\Word_Normal_Doc_3_page_1.jpg', './dataset_images_tmp\\Word_Normal_Doc_3_page_2.jpg', './dataset_images_tmp\\Word_Normal_Doc_3_page_3.jpg', './dataset_images_tmp\\Word_Normal_Doc_3_page_4.jpg', './dataset_images_tmp\\Word_Normal_Doc_3_page_5.jpg']",
Word_Normal_Doc_4.docx,.docx,./data\word\Word_Normal_Doc_4.docx,738553,success,4,"['./dataset_images_tmp\\Word_Normal_Doc_4_page_1.jpg', './dataset_images_tmp\\Word_Normal_Doc_4_page_2.jpg', './dataset_images_tmp\\Word_Normal_Doc_4_page_3.jpg', './dataset_images_tmp\\Word_Normal_Doc_4_page_4.jpg']",
Word_Normal_Doc_5.docx,.docx,./data\word\Word_Normal_Doc_5.docx,723759,success,5,"['./dataset_images_tmp\\Word_Normal_Doc_5_page_1.jpg', './dataset_images_tmp\\Word_Normal_Doc_5_page_2.jpg', './dataset_images_tmp\\Word_Normal_Doc_5_page_3.jpg', './dataset_images_tmp\\Word_Normal_Doc_5_page_4.jpg', './dataset_images_tmp\\Word_Normal_Doc_5_page_5.jpg']",
Word_Normal_Doc_6.docx,.docx,./data\word\Word_Normal_Doc_6.docx,738384,success,3,"['./dataset_images_tmp\\Word_Normal_Doc_6_page_1.jpg', './dataset_images_tmp\\Word_Normal_Doc_6_page_2.jpg', './dataset_images_tmp\\Word_Normal_Doc_6_page_3.jpg']",
Word_Normal_Doc_7.docx,.docx,./data\word\Word_Normal_Doc_7.docx,725099,success,5,"['./dataset_images_tmp\\Word_Normal_Doc_7_page_1.jpg', './dataset_images_tmp\\Word_Normal_Doc_7_page_2.jpg', './dataset_images_tmp\\Word_Normal_Doc_7_page_3.jpg', './dataset_images_tmp\\Word_Normal_Doc_7_page_4.jpg', './dataset_images_tmp\\Word_Normal_Doc_7_page_5.jpg']",
Word_Normal_Doc_8.docx,.docx,./data\word\Word_Normal_Doc_8.docx,738637,success,4,"['./dataset_images_tmp\\Word_Normal_Doc_8_page_1.jpg', './dataset_images_tmp\\Word_Normal_Doc_8_page_2.jpg', './dataset_images_tmp\\Word_Normal_Doc_8_page_3.jpg', './dataset_images_tmp\\Word_Normal_Doc_8_page_4.jpg']",
Word_Normal_Doc_9.docx,.docx,./data\word\Word_Normal_Doc_9.docx,740191,success,4,"['./dataset_images_tmp\\Word_Normal_Doc_9_page_1.jpg', './dataset_images_tmp\\Word_Normal_Doc_9_page_2.jpg', './dataset_images_tmp\\Word_Normal_Doc_9_page_3.jpg', './dataset_images_tmp\\Word_Normal_Doc_9_page_4.jpg']",
Word_Edge_Case_11.docx,.docx,./data\word\edge_cases\Word_Edge_Case_11.docx,400367,success,4,"['./dataset_images_tmp\\Word_Edge_Case_11_page_1.jpg', './dataset_images_tmp\\Word_Edge_Case_11_page_2.jpg', './dataset_images_tmp\\Word_Edge_Case_11_page_3.jpg', './dataset_images_tmp\\Word_Edge_Case_11_page_4.jpg']",
Word_Edge_Case_12.docx,.docx,./data\word\edge_cases\Word_Edge_Case_12.docx,211592,success,3,"['./dataset_images_tmp\\Word_Edge_Case_12_page_1.jpg', './dataset_images_tmp\\Word_Edge_Case_12_page_2.jpg', './dataset_images_tmp\\Word_Edge_Case_12_page_3.jpg']",
Word_Edge_Case_13.docx,.docx,./data\word\edge_cases\Word_Edge_Case_13.docx,2188813,success,3,"['./dataset_images_tmp\\Word_Edge_Case_13_page_1.jpg', './dataset_images_tmp\\Word_Edge_Case_13_page_2.jpg', './dataset_images_tmp\\Word_Edge_Case_13_page_3.jpg']",
Word_Edge_Case_14.docx,.docx,./data\word\edge_cases\Word_Edge_Case_14.docx,224407,success,4,"['./dataset_images_tmp\\Word_Edge_Case_14_page_1.jpg', './dataset_images_tmp\\Word_Edge_Case_14_page_2.jpg', './dataset_images_tmp\\Word_Edge_Case_14_page_3.jpg', './dataset_images_tmp\\Word_Edge_Case_14_page_4.jpg']",
Word_Edge_Case_15.docx,.docx,./data\word\edge_cases\Word_Edge_Case_15.docx,452538,success,4,"['./dataset_images_tmp\\Word_Edge_Case_15_page_1.jpg', './dataset_images_tmp\\Word_Edge_Case_15_page_2.jpg', './dataset_images_tmp\\Word_Edge_Case_15_page_3.jpg', './dataset_images_tmp\\Word_Edge_Case_15_page_4.jpg']",
Word_Edge_Case_16.docx,.docx,./data\word\edge_cases\Word_Edge_Case_16.docx,340580,success,3,"['./dataset_images_tmp\\Word_Edge_Case_16_page_1.jpg', './dataset_images_tmp\\Word_Edge_Case_16_page_2.jpg', './dataset_images_tmp\\Word_Edge_Case_16_page_3.jpg']",
