image_path,label
data\pages\passport_edge\passport_edge_00087_p03.jpg,1
data\pages\passport_normal\passport_normal_00088_p01.jpg,1
data\pages\filler_text\passport_normal_00088_p02.jpg,0
data\pages\filler_text\passport_edge_00089_p01.jpg,0
data\pages\filler_text\passport_edge_00089_p02.jpg,0
data\pages\passport_edge\passport_edge_00089_p03.jpg,1
data\pages\filler_text\passport_normal_00090_p01.jpg,0
data\pages\passport_normal\passport_normal_00090_p02.jpg,1
data\pages\filler_text\passport_edge_00091_p01.jpg,0
data\pages\filler_text\passport_edge_00091_p02.jpg,0
data\pages\passport_edge\passport_edge_00091_p03.jpg,1
data\pages\filler_text\passport_normal_00092_p01.jpg,0
data\pages\filler_text\passport_normal_00092_p02.jpg,0
data\pages\passport_normal\passport_normal_00092_p04.jpg,1
data\pages\passport_edge\passport_edge_00093_p01.jpg,1
data\pages\filler_text\passport_edge_00093_p02.jpg,0
data\pages\filler_text\passport_edge_00093_p03.jpg,0
data\pages\filler_text\passport_normal_00094_p01.jpg,0
data\pages\passport_normal\passport_normal_00094_p02.jpg,1
data\pages\filler_text\passport_edge_00095_p01.jpg,0
data\pages\filler_text\passport_edge_00095_p02.jpg,0
data\pages\passport_edge\passport_edge_00095_p03.jpg,1
data\pages\filler_text\passport_normal_00096_p01.jpg,0
data\pages\passport_normal\passport_normal_00096_p02.jpg,1
data\pages\passport_edge\passport_edge_00097_p01.jpg,1
data\pages\filler_text\passport_edge_00097_p02.jpg,0
data\pages\filler_text\passport_normal_00098_p01.jpg,0
data\pages\passport_normal\passport_normal_00098_p02.jpg,1
data\pages\filler_text\passport_edge_00099_p01.jpg,0
data\pages\passport_edge\passport_edge_00099_p02.jpg,1
data\pages\filler_text\passport_edge_00099_p03.jpg,0
data\pages\passport_normal\passport_normal_00100_p01.jpg,1
data\pages\filler_text\passport_normal_00100_p02.jpg,0
data\pages\filler_text\passport_edge_00101_p01.jpg,0
data\pages\filler_text\passport_edge_00101_p02.jpg,0
data\pages\passport_edge\passport_edge_00101_p03.jpg,1
data\pages\passport_normal\passport_normal_00102_p01.jpg,1
data\pages\filler_text\passport_normal_00102_p02.jpg,0
data\pages\filler_text\passport_edge_00103_p01.jpg,0
data\pages\filler_text\passport_edge_00103_p02.jpg,0
data\pages\passport_edge\passport_edge_00103_p04.jpg,1
data\pages\filler_text\passport_normal_00104_p01.jpg,0
data\pages\passport_normal\passport_normal_00104_p02.jpg,1
data\pages\filler_text\passport_edge_00105_p01.jpg,0
data\pages\filler_text\passport_edge_00105_p02.jpg,0
data\pages\passport_edge\passport_edge_00105_p04.jpg,1
data\pages\passport_normal\passport_normal_00106_p01.jpg,1
data\pages\filler_text\passport_normal_00106_p02.jpg,0
data\pages\filler_text\passport_normal_00106_p03.jpg,0
data\pages\filler_text\passport_edge_00107_p01.jpg,0
data\pages\filler_text\passport_edge_00107_p02.jpg,0
data\pages\passport_edge\passport_edge_00107_p03.jpg,1
data\pages\filler_text\passport_normal_00108_p01.jpg,0
data\pages\filler_text\passport_normal_00108_p02.jpg,0
data\pages\passport_normal\passport_normal_00108_p03.jpg,1
data\pages\filler_text\passport_edge_00109_p01.jpg,0
data\pages\filler_text\passport_edge_00109_p02.jpg,0
data\pages\passport_edge\passport_edge_00109_p03.jpg,1
data\pages\passport_normal\passport_normal_00110_p01.jpg,1
data\pages\filler_text\passport_normal_00110_p02.jpg,0
data\pages\filler_text\passport_edge_00111_p01.jpg,0
data\pages\passport_edge\passport_edge_00111_p02.jpg,1
data\pages\filler_text\passport_normal_00112_p01.jpg,0
data\pages\passport_normal\passport_normal_00112_p02.jpg,1
data\pages\filler_text\passport_normal_00112_p03.jpg,0
data\pages\filler_text\passport_edge_00113_p01.jpg,0
data\pages\passport_edge\passport_edge_00113_p02.jpg,1
data\pages\passport_normal\passport_normal_00114_p01.jpg,1
data\pages\filler_text\passport_normal_00114_p02.jpg,0
data\pages\passport_edge\passport_edge_00115_p01.jpg,1
data\pages\filler_text\passport_edge_00115_p02.jpg,0
data\pages\filler_text\passport_edge_00115_p03.jpg,0
data\pages\filler_text\passport_normal_00116_p01.jpg,0
data\pages\passport_normal\passport_normal_00116_p02.jpg,1
data\pages\filler_text\passport_normal_00116_p03.jpg,0
data\pages\filler_text\passport_edge_00117_p01.jpg,0
data\pages\passport_edge\passport_edge_00117_p02.jpg,1
data\pages\filler_text\passport_normal_00118_p01.jpg,0
data\pages\passport_normal\passport_normal_00118_p02.jpg,1
data\pages\filler_text\passport_edge_00119_p01.jpg,0
data\pages\passport_edge\passport_edge_00119_p02.jpg,1
data\pages\filler_text\passport_normal_00120_p01.jpg,0
data\pages\passport_normal\passport_normal_00120_p02.jpg,1
data\pages\filler_text\passport_normal_00120_p03.jpg,0
data\pages\filler_text\passport_edge_00121_p01.jpg,0
data\pages\passport_edge\passport_edge_00121_p02.jpg,1
data\pages\passport_normal\passport_normal_00122_p01.jpg,1
data\pages\filler_text\passport_normal_00122_p02.jpg,0
data\pages\passport_edge\passport_edge_00123_p01.jpg,1
data\pages\filler_text\passport_edge_00123_p02.jpg,0
data\pages\filler_text\passport_edge_00123_p03.jpg,0
data\pages\filler_text\passport_normal_00124_p01.jpg,0
data\pages\passport_normal\passport_normal_00124_p02.jpg,1
data\pages\filler_text\passport_edge_00125_p01.jpg,0
data\pages\passport_edge\passport_edge_00125_p02.jpg,1
data\pages\filler_text\passport_edge_00125_p03.jpg,0
data\pages\filler_text\passport_normal_00126_p01.jpg,0
data\pages\filler_text\passport_normal_00126_p02.jpg,0
data\pages\passport_normal\passport_normal_00126_p03.jpg,1
data\pages\filler_text\passport_edge_00127_p01.jpg,0
data\pages\filler_text\passport_edge_00127_p02.jpg,0
data\pages\passport_edge\passport_edge_00127_p04.jpg,1
data\pages\filler_text\passport_normal_00128_p01.jpg,0
data\pages\passport_normal\passport_normal_00128_p02.jpg,1
data\pages\filler_text\passport_normal_00128_p03.jpg,0
data\pages\filler_text\passport_edge_00129_p01.jpg,0
data\pages\passport_edge\passport_edge_00129_p02.jpg,1
data\pages\filler_text\passport_edge_00129_p03.jpg,0
data\pages\filler_text\passport_normal_00130_p01.jpg,0
data\pages\passport_normal\passport_normal_00130_p02.jpg,1
data\pages\filler_text\passport_normal_00130_p03.jpg,0
data\pages\filler_text\passport_edge_00131_p01.jpg,0
data\pages\passport_edge\passport_edge_00131_p02.jpg,1
data\pages\filler_text\passport_normal_00132_p01.jpg,0
data\pages\passport_normal\passport_normal_00132_p02.jpg,1
data\pages\filler_text\passport_edge_00133_p01.jpg,0
data\pages\passport_edge\passport_edge_00133_p02.jpg,1
data\pages\filler_text\passport_edge_00133_p03.jpg,0
data\pages\passport_normal\passport_normal_00134_p01.jpg,1
data\pages\filler_text\passport_normal_00134_p02.jpg,0
data\pages\filler_text\passport_normal_00134_p03.jpg,0
data\pages\filler_text\passport_edge_00135_p01.jpg,0
data\pages\passport_edge\passport_edge_00135_p02.jpg,1
data\pages\filler_text\passport_edge_00135_p03.jpg,0
data\pages\passport_normal\passport_normal_00136_p01.jpg,1
data\pages\filler_text\passport_normal_00136_p02.jpg,0
data\pages\filler_text\passport_edge_00137_p01.jpg,0
data\pages\passport_edge\passport_edge_00137_p02.jpg,1
data\pages\filler_text\passport_edge_00137_p03.jpg,0
data\pages\passport_normal\passport_normal_00138_p01.jpg,1
data\pages\filler_text\passport_normal_00138_p02.jpg,0
data\pages\passport_edge\passport_edge_00139_p01.jpg,1
data\pages\filler_text\passport_edge_00139_p02.jpg,0
data\pages\filler_text\passport_normal_00140_p01.jpg,0
data\pages\filler_text\passport_normal_00140_p02.jpg,0
data\pages\passport_normal\passport_normal_00140_p03.jpg,1
data\pages\filler_text\passport_edge_00141_p01.jpg,0
data\pages\passport_edge\passport_edge_00141_p02.jpg,1
data\pages\filler_text\passport_edge_00141_p03.jpg,0
data\pages\filler_text\passport_normal_00142_p01.jpg,0
data\pages\passport_normal\passport_normal_00142_p02.jpg,1
data\pages\filler_text\passport_edge_00143_p01.jpg,0
data\pages\passport_edge\passport_edge_00143_p02.jpg,1
data\pages\filler_text\passport_edge_00143_p03.jpg,0
data\pages\filler_text\passport_normal_00144_p01.jpg,0
data\pages\passport_normal\passport_normal_00144_p02.jpg,1
data\pages\passport_edge\passport_edge_00145_p01.jpg,1
data\pages\filler_text\passport_edge_00145_p02.jpg,0
data\pages\filler_text\passport_edge_00145_p03.jpg,0
data\pages\filler_text\passport_normal_00146_p01.jpg,0
data\pages\passport_normal\passport_normal_00146_p02.jpg,1
data\pages\filler_text\passport_edge_00147_p01.jpg,0
data\pages\passport_edge\passport_edge_00147_p02.jpg,1
data\pages\filler_text\passport_edge_00147_p03.jpg,0
data\pages\filler_text\passport_normal_00148_p01.jpg,0
data\pages\passport_normal\passport_normal_00148_p02.jpg,1
data\pages\filler_text\passport_normal_00148_p03.jpg,0
data\pages\filler_text\passport_edge_00149_p01.jpg,0
data\pages\filler_text\passport_edge_00149_p02.jpg,0
data\pages\passport_edge\passport_edge_00149_p04.jpg,1
data\pages\passport_normal\passport_normal_00150_p01.jpg,1
data\pages\filler_text\passport_normal_00150_p02.jpg,0
data\pages\filler_text\passport_normal_00150_p03.jpg,0
data\pages\filler_text\passport_edge_00151_p01.jpg,0
data\pages\passport_edge\passport_edge_00151_p02.jpg,1
data\pages\passport_normal\passport_normal_00152_p01.jpg,1
data\pages\filler_text\passport_normal_00152_p02.jpg,0
data\pages\filler_text\passport_edge_00153_p01.jpg,0
data\pages\filler_text\passport_edge_00153_p02.jpg,0
data\pages\passport_edge\passport_edge_00153_p03.jpg,1
data\pages\passport_normal\passport_normal_00154_p01.jpg,1
data\pages\filler_text\passport_normal_00154_p02.jpg,0
data\pages\filler_text\passport_normal_00154_p03.jpg,0
data\pages\filler_text\passport_edge_00155_p01.jpg,0
data\pages\passport_edge\passport_edge_00155_p02.jpg,1
data\pages\filler_text\passport_edge_00155_p03.jpg,0
data\pages\filler_text\passport_normal_00156_p01.jpg,0
data\pages\passport_normal\passport_normal_00156_p02.jpg,1
data\pages\filler_text\passport_normal_00156_p03.jpg,0
data\pages\passport_edge\passport_edge_00157_p01.jpg,1
data\pages\filler_text\passport_edge_00157_p02.jpg,0
data\pages\filler_text\passport_normal_00158_p01.jpg,0
data\pages\passport_normal\passport_normal_00158_p02.jpg,1
data\pages\filler_text\passport_normal_00158_p03.jpg,0
data\pages\passport_edge\passport_edge_00159_p01.jpg,1
data\pages\filler_text\passport_edge_00159_p02.jpg,0
data\pages\filler_text\passport_edge_00159_p03.jpg,0
data\pages\passport_normal\passport_normal_00160_p01.jpg,1
data\pages\filler_text\passport_normal_00160_p02.jpg,0
data\pages\passport_edge\passport_edge_00161_p01.jpg,1
data\pages\filler_text\passport_edge_00161_p02.jpg,0
data\pages\passport_normal\passport_normal_00162_p01.jpg,1
data\pages\filler_text\passport_normal_00162_p02.jpg,0
data\pages\passport_edge\passport_edge_00163_p01.jpg,1
data\pages\filler_text\passport_edge_00163_p02.jpg,0
data\pages\filler_text\passport_edge_00163_p03.jpg,0
data\pages\passport_normal\passport_normal_00164_p01.jpg,1
data\pages\filler_text\passport_normal_00164_p02.jpg,0
data\pages\passport_edge\passport_edge_00165_p01.jpg,1
data\pages\filler_text\passport_edge_00165_p02.jpg,0
data\pages\passport_normal\passport_normal_00166_p01.jpg,1
data\pages\filler_text\passport_normal_00166_p02.jpg,0
data\pages\filler_text\passport_normal_00166_p03.jpg,0
data\pages\filler_text\passport_edge_00167_p01.jpg,0
data\pages\passport_edge\passport_edge_00167_p02.jpg,1
data\pages\filler_text\passport_normal_00168_p01.jpg,0
data\pages\passport_normal\passport_normal_00168_p02.jpg,1
data\pages\passport_edge\passport_edge_00169_p01.jpg,1
data\pages\filler_text\passport_edge_00169_p02.jpg,0
data\pages\filler_text\passport_edge_00169_p03.jpg,0
data\pages\passport_normal\passport_normal_00170_p01.jpg,1
data\pages\filler_text\passport_normal_00170_p02.jpg,0
data\pages\filler_text\passport_edge_00171_p01.jpg,0
data\pages\filler_text\passport_edge_00171_p02.jpg,0
data\pages\passport_edge\passport_edge_00171_p03.jpg,1
data\pages\filler_text\passport_normal_00172_p01.jpg,0
data\pages\passport_normal\passport_normal_00172_p02.jpg,1
data\pages\passport_edge\passport_edge_00173_p01.jpg,1
data\pages\filler_text\passport_edge_00173_p02.jpg,0
data\pages\passport_normal\passport_normal_00174_p01.jpg,1
data\pages\filler_text\passport_normal_00174_p02.jpg,0
data\pages\filler_text\passport_normal_00174_p03.jpg,0
data\pages\passport_edge\passport_edge_00175_p01.jpg,1
data\pages\filler_text\passport_edge_00175_p02.jpg,0
data\pages\filler_text\passport_edge_00175_p03.jpg,0
data\pages\filler_text\passport_normal_00176_p01.jpg,0
data\pages\passport_normal\passport_normal_00176_p02.jpg,1
data\pages\passport_edge\passport_edge_00177_p01.jpg,1
data\pages\filler_text\passport_edge_00177_p02.jpg,0
data\pages\filler_text\passport_normal_00178_p01.jpg,0
data\pages\filler_text\passport_normal_00178_p02.jpg,0
data\pages\passport_normal\passport_normal_00178_p03.jpg,1
data\pages\filler_text\passport_edge_00179_p01.jpg,0
data\pages\filler_text\passport_edge_00179_p02.jpg,0
data\pages\passport_edge\passport_edge_00179_p04.jpg,1
data\pages\passport_normal\passport_normal_00180_p01.jpg,1
data\pages\filler_text\passport_normal_00180_p02.jpg,0
data\pages\filler_text\passport_normal_00180_p03.jpg,0
data\pages\filler_text\passport_edge_00181_p01.jpg,0
data\pages\filler_text\passport_edge_00181_p02.jpg,0
data\pages\passport_edge\passport_edge_00181_p03.jpg,1
data\pages\passport_normal\passport_normal_00182_p01.jpg,1
data\pages\filler_text\passport_normal_00182_p02.jpg,0
data\pages\filler_text\passport_normal_00182_p03.jpg,0
data\pages\filler_text\passport_edge_00183_p01.jpg,0
data\pages\filler_text\passport_edge_00183_p02.jpg,0
data\pages\passport_edge\passport_edge_00183_p03.jpg,1
data\pages\passport_normal\passport_normal_00184_p01.jpg,1
data\pages\filler_text\passport_normal_00184_p02.jpg,0
data\pages\filler_text\passport_normal_00184_p03.jpg,0
data\pages\filler_text\passport_edge_00185_p01.jpg,0
data\pages\passport_edge\passport_edge_00185_p02.jpg,1
data\pages\filler_text\passport_normal_00186_p01.jpg,0
data\pages\filler_text\passport_normal_00186_p02.jpg,0
data\pages\passport_normal\passport_normal_00186_p03.jpg,1
data\pages\passport_edge\passport_edge_00187_p01.jpg,1
data\pages\filler_text\passport_edge_00187_p02.jpg,0
data\pages\filler_text\passport_edge_00187_p03.jpg,0
data\pages\passport_normal\passport_normal_00188_p01.jpg,1
data\pages\filler_text\passport_normal_00188_p02.jpg,0
data\pages\filler_text\passport_edge_00189_p01.jpg,0
data\pages\passport_edge\passport_edge_00189_p02.jpg,1
data\pages\filler_text\passport_edge_00189_p03.jpg,0
data\pages\filler_text\passport_normal_00190_p01.jpg,0
data\pages\passport_normal\passport_normal_00190_p02.jpg,1
data\pages\filler_text\passport_normal_00190_p03.jpg,0
data\pages\filler_text\passport_edge_00191_p01.jpg,0
data\pages\passport_edge\passport_edge_00191_p02.jpg,1
data\pages\filler_text\passport_edge_00191_p03.jpg,0
data\pages\passport_normal\passport_normal_00192_p01.jpg,1
data\pages\filler_text\passport_normal_00192_p02.jpg,0
data\pages\filler_text\passport_normal_00192_p03.jpg,0
data\pages\filler_text\passport_edge_00193_p01.jpg,0
